params,accuracy,roc_auc,precision,recall,f1,mean_cv_accuracy
"OrderedDict([('learning_rate', 0.06643907805165022), ('max_depth', 3), ('min_data_in_leaf', 113064), ('n_estimators', 197), ('num_leaves', 435)])",0.8048511372080329,0.8912287010924441,0.739297132457823,0.7620796828100916,0.7505155514278153,0.8052237181590385
"OrderedDict([('learning_rate', 0.0893406313849554), ('max_depth', 4), ('min_data_in_leaf', 52897), ('n_estimators', 293), ('num_leaves', 502)])",0.810378750374708,0.8958376989054158,0.7521320820754028,0.757247809686055,0.7546812765360764,0.8100750785514075
"OrderedDict([('learning_rate', 0.06805780428903004), ('max_depth', 4), ('min_data_in_leaf', 33919), ('n_estimators', 215), ('num_leaves', 266)])",0.8092040959603801,0.8949572296680437,0.7505815651403309,0.7557952056461427,0.7531793630663359,0.8094691292956255
"OrderedDict([('learning_rate', 0.08780627736380686), ('max_depth', 2), ('min_data_in_leaf', 81060), ('n_estimators', 270), ('num_leaves', 383)])",0.8032243921920145,0.8902281584783478,0.7351538847802029,0.7645589965117222,0.7495681652678121,0.8038854405545376
"OrderedDict([('learning_rate', 0.08702811428778609), ('max_depth', 3), ('min_data_in_leaf', 74233), ('n_estimators', 257), ('num_leaves', 516)])",0.8079601144775425,0.8936435701390768,0.7459303800301398,0.7604192017522512,0.7531051105336497,0.8078621920677532
"OrderedDict([('learning_rate', 0.08316382491216304), ('max_depth', 4), ('min_data_in_leaf', 39534), ('n_estimators', 178), ('num_leaves', 480)])",0.8094442996062027,0.8948737840319172,0.7510745400766917,0.7557394337632839,0.753399765977826,0.8096005298211759
"OrderedDict([('learning_rate', 0.07668835127314028), ('max_depth', 4), ('min_data_in_leaf', 58213), ('n_estimators', 281), ('num_leaves', 407)])",0.8096268934345313,0.8950945024244626,0.7509288910914502,0.7567407925691572,0.7538236397085284,0.8097733592888934
"OrderedDict([('learning_rate', 0.07287031174021161), ('max_depth', 4), ('min_data_in_leaf', 71351), ('n_estimators', 276), ('num_leaves', 313)])",0.8090634889481912,0.8948545285043081,0.7491570345653404,0.7581249492982883,0.7536143136143136,0.8090979432933197
"OrderedDict([('learning_rate', 0.09696110102631643), ('max_depth', 3), ('min_data_in_leaf', 107213), ('n_estimators', 212), ('num_leaves', 333)])",0.8073059012958304,0.8928348792407113,0.7441973399932608,0.7614484464995538,0.7527240649966419,0.8066574074338593
"OrderedDict([('learning_rate', 0.0501259752935983), ('max_depth', 4), ('min_data_in_leaf', 94752), ('n_estimators', 188), ('num_leaves', 403)])",0.80635778040114,0.8919417938955829,0.7446413114786813,0.7567737486817555,0.750658510979374,0.8060673600927768
"OrderedDict([('learning_rate', 0.051186958616616055), ('max_depth', 2), ('min_data_in_leaf', 24577), ('n_estimators', 188), ('num_leaves', 295)])",0.7986761459227384,0.885936606889486,0.7260374948377368,0.7665667842946378,0.7457518854476489,0.7990453790140095
"OrderedDict([('learning_rate', 0.08980934956715235), ('max_depth', 2), ('min_data_in_leaf', 119422), ('n_estimators', 171), ('num_leaves', 444)])",0.8024676530639147,0.8882265767306227,0.7336085602374927,0.7649139084935508,0.7489342373234743,0.8024216210545475
"OrderedDict([('learning_rate', 0.09827017959655142), ('max_depth', 2), ('min_data_in_leaf', 25060), ('n_estimators', 200), ('num_leaves', 364)])",0.8023563391792652,0.8902651224162079,0.7326768419598787,0.7665465036099619,0.7492290900350982,0.8028380019800103
"OrderedDict([('learning_rate', 0.05063053216802468), ('max_depth', 3), ('min_data_in_leaf', 27205), ('n_estimators', 300), ('num_leaves', 401)])",0.8071008494030549,0.8935875632281419,0.7431600057298381,0.762817392715178,0.7528604061739237,0.8075759562258487
"OrderedDict([('learning_rate', 0.09624323204244305), ('max_depth', 3), ('min_data_in_leaf', 24418), ('n_estimators', 150), ('num_leaves', 391)])",0.807020781521114,0.8936176150903908,0.7427961000256578,0.7632686379492172,0.7528932233058264,0.8071804990294595
